location,commodity,time_operation,opex_production,amount_produced,production_cost_per_unit,opex_transport,amount_imported,per_unit_import_cost,weighted_cost_per_unit,total_cost,production_to_import_ratio,scenario
AUS,Steel,4,18858.1993447509,38.05125,495.59999591999997,0.0,0.0,,495.59999591999997,18858.1993447509,,S4
AUS,Steel,5,19426.652540071143,39.19825,495.5999959200001,0.0,0.0,,495.5999959200001,19426.652540071143,,S4
AUS,Steel,6,19995.105735391386,40.34525000000001,495.59999592,0.0,0.0,,495.59999592,19995.105735391386,,S4
AUS,Steel,7,20563.55893071162,41.49225,495.59999592,0.0,0.0,,495.59999592,20563.55893071162,,S4
AUS,Steel,8,21132.01212603186,42.63925,495.59999592,0.0,0.0,,495.59999592,21132.01212603186,,S4
AUS,Steel,9,21700.465321352105,43.78625,495.5999959200001,0.0,0.0,,495.5999959200001,21700.465321352105,,S4
AUS,Steel,10,22268.918516672344,44.93325,495.5999959200001,0.0,0.0,,495.5999959200001,22268.918516672344,,S4
AUS,Steel,11,48549.285350320664,97.96062500000002,495.59999592,0.0,0.0,,495.59999592,48549.285350320664,,S4
AUS,Steel,12,54734.24939940328,110.440375,495.59999592,0.0,0.0,,495.59999592,54734.24939940328,,S4
AUS,Steel,13,60954.95859819164,122.99225,495.59999592000014,0.0,0.0,,495.59999592000014,60954.95859819164,,S4
AUT,Aluminium,0,33669.48048,19.64,1714.3319999999999,0.0,0.0,,1714.3319999999999,33669.48048,,S4
AUT,Aluminium,1,33669.48048,19.64,1714.3319999999999,0.0,0.0,,1714.3319999999999,33669.48048,,S4
AUT,Aluminium,2,33669.48048,19.64,1714.3319999999999,0.0,0.0,,1714.3319999999999,33669.48048,,S4
AUT,Aluminium,3,33669.48048,19.64,1714.3319999999999,0.0,0.0,,1714.3319999999999,33669.48048,,S4
AUT,Aluminium,4,33669.48048,19.64,1714.3319999999999,0.0,0.0,,1714.3319999999999,33669.48048,,S4
AUT,Aluminium,5,33669.48048,19.64,1714.3319999999999,0.0,0.0,,1714.3319999999999,33669.48048,,S4
AUT,Aluminium,6,33669.48048,19.64,1714.3319999999999,0.0,0.0,,1714.3319999999999,33669.48048,,S4
AUT,Aluminium,7,33669.48048,19.64,1714.3319999999999,0.0,0.0,,1714.3319999999999,33669.48048,,S4
AUT,Aluminium,8,33669.48048,19.64,1714.3319999999999,0.0,0.0,,1714.3319999999999,33669.48048,,S4
AUT,Aluminium,9,33669.48048,19.64,1714.3319999999999,0.0,0.0,,1714.3319999999999,33669.48048,,S4
AUT,Aluminium,10,33669.48048,19.64,1714.3319999999999,0.0,0.0,,1714.3319999999999,33669.48048,,S4
AUT,Aluminium,11,33669.48048,19.64,1714.3319999999999,0.0,0.0,,1714.3319999999999,33669.48048,,S4
AUT,Aluminium,12,33669.48048,19.64,1714.3319999999999,0.0,0.0,,1714.3319999999999,33669.48048,,S4
AUT,Aluminium,13,33669.48048,19.64,1714.3319999999999,0.0,0.0,,1714.3319999999999,33669.48048,,S4
AUT,Bauxite,0,1.2264000000000002,0.04,30.660000000000004,144.445392,78.52,32.49960000000001,32.466521058378724,2550.5698943462326,0.0005094243504839531,S4
AUT,Bauxite,1,1.2264000000000002,0.04,30.660000000000004,144.445392,78.52,32.49960000000001,32.466521058378724,2550.5698943462326,0.0005094243504839531,S4
AUT,Bauxite,2,1.2264000000000002,0.04,30.660000000000004,144.445392,78.52,32.49960000000001,32.466521058378724,2550.5698943462326,0.0005094243504839531,S4
AUT,Bauxite,3,1.2264000000000002,0.04,30.660000000000004,144.445392,78.52,32.49960000000001,32.466521058378724,2550.5698943462326,0.0005094243504839531,S4
AUT,Bauxite,4,1.2264000000000002,0.04,30.660000000000004,144.445392,78.52,32.49960000000001,32.466521058378724,2550.5698943462326,0.0005094243504839531,S4
AUT,Bauxite,5,1.2264000000000002,0.04,30.660000000000004,144.445392,78.52,32.49960000000001,32.466521058378724,2550.5698943462326,0.0005094243504839531,S4
AUT,Bauxite,6,1.2264000000000002,0.04,30.660000000000004,144.445392,78.52,32.49960000000001,32.466521058378724,2550.5698943462326,0.0005094243504839531,S4
AUT,Bauxite,7,1.2264000000000002,0.04,30.660000000000004,144.445392,78.52,32.49960000000001,32.466521058378724,2550.5698943462326,0.0005094243504839531,S4
AUT,Bauxite,8,1.2264000000000002,0.04,30.660000000000004,144.445392,78.52,32.49960000000001,32.466521058378724,2550.5698943462326,0.0005094243504839531,S4
AUT,Bauxite,9,1.2264000000000002,0.04,30.660000000000004,144.445392,78.52,32.49960000000001,32.466521058378724,2550.5698943462326,0.0005094243504839531,S4
AUT,Bauxite,10,1.2264000000000002,0.04,30.660000000000004,144.445392,78.52,32.49960000000001,32.466521058378724,2550.5698943462326,0.0005094243504839531,S4
AUT,Bauxite,11,1.2264000000000002,0.04,30.660000000000004,144.445392,78.52,32.49960000000001,32.466521058378724,2550.5698943462326,0.0005094243504839531,S4
AUT,Bauxite,12,1.2264000000000002,0.04,30.660000000000004,144.445392,78.52,32.49960000000001,32.466521058378724,2550.5698943462326,0.0005094243504839531,S4
AUT,Bauxite,13,1.2264000000000002,0.04,30.660000000000004,144.445392,78.52,32.49960000000001,32.466521058378724,2550.5698943462326,0.0005094243504839531,S4
AUT,Compressor,0,0.0,0.0,,1353.598704,0.4,81383.99676,81383.99676,32553.598704,0.0,S4
AUT,Compressor,1,0.0,0.0,,5075.99514,1.5,79183.99676,79183.99676,118775.99514,0.0,S4
AUT,Compressor,2,0.0,0.0,,5075.99514,1.5,77283.99676,77283.99676,115925.99514,0.0,S4
AUT,Compressor,3,0.0,0.0,,5075.99514,1.5,75483.99676,75483.99676,113225.99514,0.0,S4
AUT,Compressor,4,0.0,0.0,,5075.99514,1.5,73783.99676,73783.99676,110675.99514,0.0,S4
AUT,Compressor,5,0.0,0.0,,5075.99514,1.5,72083.99676,72083.99676,108125.99514,0.0,S4
AUT,Compressor,6,0.0,0.0,,5075.99514,1.5,70383.99676,70383.99676,105575.99514,0.0,S4
AUT,Compressor,7,0.0,0.0,,5075.99514,1.5,68783.99676,68783.99676,103175.99514,0.0,S4
AUT,Compressor,8,0.0,0.0,,5075.99514,1.5,67183.99676,67183.99676,100775.99514,0.0,S4
AUT,Compressor,9,0.0,0.0,,5472.5927922784795,1.617198,65583.99676,65583.99676,106062.30839227847,0.0,S4
AUT,Compressor,10,0.0,0.0,,8798.391576,2.6,64083.996759999995,64083.996759999995,166618.391576,0.0,S4
AUT,Compressor,11,0.0,0.0,,8798.391576,2.6,62583.996759999995,62583.996759999995,162718.391576,0.0,S4
AUT,Compressor,12,0.0,0.0,,8798.391576,2.6,61183.996759999995,61183.996759999995,159078.391576,0.0,S4
AUT,Compressor,13,0.0,0.0,,8798.391576,2.6,59783.996759999995,59783.996759999995,155438.391576,0.0,S4
AUT,Copper,0,0.0,0.0,,0.0,0.0,,,0.0,,S4
AUT,Copper,0,70.50048,0.2,352.50239999999997,0.0,0.0,,352.50239999999997,70.50048,,S4
AUT,Copper,1,0.0,0.0,,0.0,0.0,,,0.0,,S4
AUT,Copper,1,70.50048,0.2,352.50239999999997,0.0,0.0,,352.50239999999997,70.50048,,S4
AUT,Copper,2,0.0,0.0,,0.0,0.0,,,0.0,,S4
AUT,Copper,2,70.50048,0.2,352.50239999999997,0.0,0.0,,352.50239999999997,70.50048,,S4
AUT,Copper,3,0.0,0.0,,0.0,0.0,,,0.0,,S4
AUT,Copper,3,70.50048,0.2,352.50239999999997,0.0,0.0,,352.50239999999997,70.50048,,S4
AUT,Copper,4,0.0,0.0,,0.0,0.0,,,0.0,,S4
AUT,Copper,4,70.50048,0.2,352.50239999999997,0.0,0.0,,352.50239999999997,70.50048,,S4
AUT,Copper,5,0.0,0.0,,0.0,0.0,,,0.0,,S4
AUT,Copper,5,70.50048,0.2,352.50239999999997,0.0,0.0,,352.50239999999997,70.50048,,S4
AUT,Copper,6,0.0,0.0,,0.0,0.0,,,0.0,,S4
