location,0,1,2,3,4,5,6,7,8,9,10,11,12,13
AUS,1766.2874466060584,1795.4673296539268,1823.9747144497635,1851.9876223842975,1970.9026691484696,1981.975710897424,1993.499164203267,2026.8989624994247,2248.280655726626,2445.065975749459,2539.1292835282475,2194.617036181696,2161.260486366257,2176.7664329299964
AUT,1031.4458780963473,1076.383015739097,1067.5773203181388,1061.8568320519691,1056.1363437857995,1051.3799827555008,1045.9165950855634,1041.417334651497,1330.462646255868,1355.9883748707914,1456.614100055384,1581.9150804284186,1566.0880920216875,1682.6968041515192
BRA,5291.009427576262,5281.164724303938,5260.976149706045,5050.494903767074,3933.009830243685,3755.3448099103293,2820.897573687106,2292.1837186115595,1951.2696110551822,1945.2832595884827,1939.296908121783,1930.665424611658,1955.1767465584053,1949.2204817418897
CHN,1184.7375379806597,1150.127270208773,1094.7463446316278,1047.0060704762016,1016.2382592598419,1044.6514551504813,1067.9204157151094,1084.2990659899297,1066.094976818516,1041.4705764491166,1024.1424446209367,994.0788130417458,963.5421404081352,923.2851467112743
CZE,517.875395606729,596.0008203443281,736.8422117548344,814.5486343020768,985.6537580743433,1182.2159159618764,1378.234198162193,1463.5325453662283,1665.4081212694036,1828.3873738372306,1703.335760875363,1697.360237347273,1779.5410159482396,1827.5014644097748
DEU,2558.5817082317767,2525.131476260775,2478.577268255072,2440.1805874148195,2401.783906574567,2391.137466380036,2335.925269379018,2347.788692016837,2483.285487787639,2545.0989734675327,2582.255797452705,2690.3875523682036,2817.564876483552,2957.8067672433563
ITA,3417.6010599394544,3073.2436845207076,3058.2398769655347,3066.683727652661,3083.1740450177927,3107.233899351052,3140.0803053115496,3151.2173511374626,3114.95905099661,2991.772685311021,3248.2902597638317,3014.9394943924262,2991.5254483274443,3135.6440394582114
JPN,7378.654389768707,7330.978080950612,7258.801247091499,6311.955595792362,6249.850647827141,6187.730662036035,6129.2803026908505,5803.11906116302,4760.681372937253,3922.7251082511975,3158.118188034501,3009.174750137512,2923.6372755130637,2820.4475348817145
KOR,7437.6646495046325,6252.72349785895,4184.1062968379765,3285.6314034394977,2598.978132287167,2494.1266526137047,2466.2426853830325,2442.208616150989,2420.9468362238204,2396.2333672992245,2367.2842067834604,2349.338255018077,2331.0120720404316,2313.7218409922916
ROE,1973.6677421118775,1893.353245166671,1879.96672703967,1861.2478588780655,1858.7764702272532,1858.7441957866786,1851.1969464277324,1878.4497438960134,1879.5973084172074,1867.2337414139736,1715.5233306397724,1769.7408072690553,1837.2281393170604,1920.1699587318258
ROW,8793.580774738826,6154.0526361220445,5860.332227692316,5598.891946714386,5329.152873028197,4817.496215271361,4380.500087472416,3986.9649087429466,3496.669215088111,3087.448485879698,2988.670568392876,2580.5891962734454,2285.19442316575,2050.1408653578205
TOTAL,2502.9344360334353,2379.983386537361,2260.5808489418105,2161.126163876823,2083.1921988577587,2039.7982373866903,2004.5737824281557,1963.7769989212866,1926.2630773264361,1893.0680843339903,1840.1850171587462,1798.723955400444,1768.806499155999,1739.6492906856233
USA,3300.437739988633,3365.5607951127695,3119.4806482204413,3199.965305769549,3139.7983965605367,3129.8135716281595,3138.757505101274,3141.39058297066,3160.779109518246,3169.0762284200673,3192.208864375493,3240.9423671004924,3265.667258113702,3266.9362653240823
