technology,node,time_storage_level,value_scenario_,value_scenario_S1,value_scenario_S2,value_scenario_S3,value_scenario_S4,value_scenario_S5
Aluminium_storage,KOR,2,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_storage,KOR,3,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_storage,KOR,4,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_storage,KOR,5,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_storage,KOR,6,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_storage,KOR,7,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_storage,KOR,8,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_storage,KOR,9,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_storage,KOR,10,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_storage,KOR,11,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_storage,KOR,12,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_storage,KOR,13,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_storage,ROE,0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_storage,ROE,1,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_storage,ROE,2,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_storage,ROE,3,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_storage,ROE,4,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_storage,ROE,5,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_storage,ROE,6,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_storage,ROE,7,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_storage,ROE,8,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_storage,ROE,9,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_storage,ROE,10,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_storage,ROE,11,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_storage,ROE,12,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_storage,ROE,13,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_storage,ROW,0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_storage,ROW,1,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_storage,ROW,2,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_storage,ROW,3,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_storage,ROW,4,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_storage,ROW,5,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_storage,ROW,6,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_storage,ROW,7,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_storage,ROW,8,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_storage,ROW,9,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_storage,ROW,10,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_storage,ROW,11,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_storage,ROW,12,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_storage,ROW,13,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_storage,USA,0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_storage,USA,1,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_storage,USA,2,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_storage,USA,3,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_storage,USA,4,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_storage,USA,5,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_storage,USA,6,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_storage,USA,7,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_storage,USA,8,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_storage,USA,9,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_storage,USA,10,0.0,0.0,0.0,0.0,0.0,0.0
